SAS_Angle[Deg],SAS_Speed,CR_Yrs_Yr,CR_Yrs_LatAc[g],ACCEL_REF_ACC[m/s^2],DriverBraking,CR_Mdps_DrvTq,CR_Brk_StkDep_Pc[%],CR_Yrs_LongAc[g],CR_Mdps_StrColTq[Nm],CR_Mdps_StrTq[Nm],CR_Mdps_OutTq,CF_Gway_TSigLHSw,CF_Gway_TSigRHSw,CR_Vcu_AccPedDep_Pc[%],CR_Mcu_VehSpd_Kph[kph],Time[s]
6.3,4,1.51499999999999,0.08514662,-0.630000000000001,0,0.859999999999999,0,-0.05200572,1.4453125,1.44,0.800000000000011,1,0,0,63,304
3.5,0,0.275000000000006,0.056212065000001,-0.880000000000001,0,0.219999999999999,0,-0.010069735,0.234375,0.23,-0.300000000000011,0,0,3.921568627,60,305
3.1,0,0.430000000000007,0.04231838,-0.23,0,0.27,0,0.0433381,0.2578125,0.25,0.400000000000006,0,0,9.8039215675,58,306
3.1,0,0.379999999999995,0.04767191,0.039999999999999,0,0.379999999999999,0,0.063732500000001,0.5,0.5,0.099999999999994,0,0,13.7254901945,58,307
3.1,0,0.324999999999989,0.048691630000001,0.299999999999999,0,0.350000000000001,0,0.079665625,0.359375,0.359999999999999,0,0,0,17.6470588215,59,308
3.1,0,0.530000000000001,0.070233215,0.359999999999999,0,0.960000000000001,0,0.08489169,1.0546875,1.06,1,0,0,18.8235294096,61,309
6.5,0,1.75999999999999,0.09304945,-0.24,0,0.93,0,0.010834525,0.90625,0.899999999999999,0.300000000000011,0,0,6.6666666659,61,310
2.7,0,0.030000000000001,0.028169765,0.459999999999999,0,0.039999999999999,0,0.06296771,0.109375,0.109999999999999,-0.900000000000006,0,0,13.7254901945,62,311
-1.5,0,-1.13,-0.017717635,0.549999999999999,0,-1.57,0,0.073037445,-1.5625,-1.56,-1.30000000000001,0,0,14.9019607826,63,312
0,0,-0.39500000000001,0.00637325,0.699999999999999,0,-1.15,0,0.080430415,-1.1875,-1.18,-1.19999999999999,0,0,17.6470588215,65,313
0.3,0,-0.175000000000011,-0.012873965,0.43,0,-0.780000000000001,0,0.046524725,-0.7890625,-0.789999999999999,-0.400000000000006,0,0,13.7254901945,66,314
2,0,0.495000000000005,0.011854245,0.279999999999999,0,0.219999999999999,0,0.05022121,0.3125,0.309999999999999,0.300000000000011,0,0,12.9411764691,67,315
1.2,8,-0.044999999999988,-0.001147185,0.18,0,-0.629999999999999,0,0.03492541,-0.6328125,-0.629999999999999,0,0,0,11.764705881,67,316
2.9,0,0.919999999999988,0.02931695,0.07,0,0.420000000000002,0,0.02855216,0.421875,0.420000000000002,0.099999999999994,0,0,10.9803921556,68,317
2.9,0,0.930000000000007,0.00866762,0.07,0,-0.390000000000001,0,0.02906202,-0.390625,-0.390000000000001,0,0,0,9.8039215675,68,318
2.7,0,0.680000000000007,0.028934555,-0.23,0,-0.039999999999999,0,0.00152958,-0.0390625,-0.039999999999999,0.099999999999994,0,0,6.6666666659,67,319
